,open,high,low,close,volume
2010-01-04,329.9998,332.3998,323.4998,324.9999,716694
2010-01-05,329.3999,331.9999,325.4499,330.0999,1130116
2010-01-06,334.2998,335.3499,326.4999,327.0499,805901
2010-01-07,329.0498,334.1499,327.0499,329.1499,737678
2010-01-08,329.0498,331.9999,324.4999,325.1499,471303
2010-01-11,327.9999,329.9998,325.4999,328.9499,780014
2010-01-12,329.9998,334.8999,320.5499,322.1499,1433402
2010-01-13,322.8999,322.8999,315.9999,318.7499,750639
2010-01-14,319.9999,322.8999,317.8999,318.8999,662771
2010-01-15,322.4999,322.8999,316.0999,317.1499,858148
2010-01-18,319.7999,321.9499,316.5498,319.6498,463785
2010-01-19,319.9999,325.6999,318.2499,319.9999,843837
2010-01-20,321.4999,332.0999,321.4999,330.8999,2109175
2010-01-21,327.9999,332.9999,321.1499,322.1499,1050124
2010-01-22,316.9999,329.7999,314.9999,321.2999,1659688
2010-01-25,321.9999,331.4999,318.5999,330.4999,1194564
2010-01-27,328.9999,332.2499,320.0999,321.7499,833995
2010-01-28,332.9999,349.7999,312.2999,314.0499,813618
2010-01-29,310.9998,313.9999,304.6499,306.4999,957000
2010-02-01,305.4998,313.6999,305.4998,310.6999,687373
2010-02-02,312.8999,315.3498,305.9999,307.0999,581769
2010-02-03,312.6998,312.6998,307.4999,308.4999,492284
2010-02-04,309.0499,309.0499,300.6999,303.6999,523206
2010-02-05,297.9999,304.3999,294.9999,300.2999,692000
2010-02-08,304.9499,310.1999,298.9998,308.2999,862031
2010-02-09,309.9999,316.4499,306.8499,313.7999,1115172
2010-02-10,314.7999,318.3999,308.7999,315.2999,891992
2010-02-11,315.2999,316.9999,310.6999,314.3999,1261800
2010-02-15,318.6998,323.7999,283.9999,285.3999,5558466
2010-02-16,286.9998,289.7999,269.6499,272.4499,9111106
2010-02-17,277.8999,281.6999,275.1499,279.0999,3202343
2010-02-18,279.9999,284.2499,276.0499,281.0999,1678948
2010-02-19,277.9999,283.7999,274.4999,278.2499,2197269
2010-02-22,281.8999,282.5999,275.9999,276.8499,928456
2010-02-23,274.9999,280.5999,274.9999,279.7499,931811
2010-02-24,276.9999,279.9499,275.0999,275.8999,486474
2010-02-25,271.9499,279.6999,271.9499,276.3499,839952
2010-02-26,276.4999,281.9999,275.7999,279.2499,1341994
2010-03-02,281.5999,292.9998,279.9999,290.1499,1578393
2010-03-03,291.3499,294.8999,290.4499,291.8499,845833
2010-03-04,289.9999,294.9999,289.9999,293.0999,739484
2010-03-05,292.9998,303.6999,291.9999,298.5499,1997903
2010-03-08,301.4999,303.9999,290.6999,292.1999,694986
2010-03-09,291.9999,294.6999,287.0999,291.3499,792137
2010-03-10,289.9999,294.9999,287.0999,288.1499,579126
2010-03-11,288.9999,294.8999,288.3499,293.8499,637519
2010-03-12,293.9999,300.0999,293.4999,299.0499,961149
